IATA,ICAO,Airline,Callsign,Country
U8,RNV,Armavia,ARMAVIA,Armenia
JW,APW,Arrow Air,BIG A,USA
R7,OCA,Aserca Airlines,AROSCA,Venezuela
HJ,AXF,Asian Express Airlines,FREIGHTEXPRESS,Australia
OZ,AAR,Asiana Airlines,ASIANA,South Korea
4K,AAS,Askari Aviation,AL-AAS,Pakistan
ER,DHL,Astar Air Cargo,DHL,USA
5W,AEU,Astraeus,FLYSTAR,United Kingdom
OB,ASZ,Astrakhan Airlines,AIR ASTRAKHAN,Russia
8V,ACP,Astral Aviation,ASTRAL CARGO,Kenya
3G,AYZ,Atlant-Soyuz Airlines,ATLANT-SOYUZ,Russia
ZF,HHA,Atlantic Airlines de Honduras,ATLANTIC HONDURAS,Honduras
RC,FLI,Atlantic Airways,FAROELINE,Faroe Islands (Denmark)
EV,ASQ,Atlantic Southeast Airlines,ACEY,USA
TD,LUR,Atlantis European Airways,ATLANTIS LINER,Armenia
5Y,GTI,Atlas Air,GIANT,USA
8A,BMM,Atlas Blue,ATLAS BLUE,Morocco
KK,KKK,Atlasjet,ATLASJET,Turkey
IP,JOL,Atyrau Air Ways,EDIL,Kazakhstan
IQ,AUB,Augsburg Airways GmbH,AUGSBURG-AIR,Germany
GR,AUR,Aurigny Air Services,AYLINE,United Kingdom
AU,AUT,Austral Lineas Aereas,AUSTRAL,Argentina
XM,XME,Australian air Express,JETEX,Australia
OS,AUA,Austrian Airlines,AUSTRIAN,Austria
VO,TYR,Austrian Arrows (Tyrolean Airways),TYROLEAN,Austria
TF,AVJ,Avia Traffic Company,ATOMIC,Kyrgyzstan
ZR,AZS,Aviacon Zitotrans,ZITOTRANS,Russia
6A,CHP,Aviacsa,AVIACSA,Mexico
7U,ERG,Aviaenergo,AVIAENERGO,Russia
EC,TWN,Avialeasing Aviation Company,TWINARROW,Uzbekistan
AV,AVA,Avianca - Aerovias Nacionales de Colombia,S.A.,AVIANCA
4B,TUP,Aviastar-TU,TUPOLEVAIR,Russia
Z3,SMJ,Avient Aviation,AVAVIA,Zimbabwe
U3,AIA,Avies,AVIES,Estonia
JJ,AGX,Aviogenex,GENEX,Serbia
9V,ROI,Avior Airlines,AVIOR,Venezuela
G2,VXG,Avirex,AVIREX-GABON,Gabon
2Q,ETS,Avitrans,EXTRANS,Sweden
6V,AXY,Axis Airways,AXIS,France
0,AYT,Ayit Aviation and Tourism,AYEET,Israel
J2,AHY,Azerbaijan Airlines,AZAL,Azerbaijan
AD,AZU,Azul Brazilian Airlines,AZUL,Brazil
JA,BON,B&H Airlines,AIR BOSNA,Bosnia-Hercegovina
CJ,CFE,BA CityFlyer,FLYER,United Kingdom
B4,BCF,BACH Flugbetriebsgesellschaft mbH,BACH,Austria
1B,BGH,BH Air (Balkan Holidays),BALKAN HOLIDAYS,Bulgaria
BD,BMR,BMI Regional,,United Kingdom
UP,BHS,Bahamasair,BAHAMAS,Bahamas
2B,BAB,Bahrain Air,BAHRAIN AIR,Bahrain
PG,BKP,Bangkok Airways,BANGKOK AIR,Thailand
B4,BKA,Bankair,BANKAIR,USA
8N,NKF,Barents AirLink,NORDFLIGHT,Sweden
7P,BTV,Batavia Air,BATAVIA,Indonesia
JV,BLS,Bearskin Lake Air Service,BEARSKIN,Canada
4T,BHP,Belair Airlines,BELAIR,Switzerland
B2,BRU,Belavia Belarusian Airlines,BELARUS AVIA,Belarus
LZ,LBY,Belle Air,ALBAN-BELLE,Albania
B3,BLV,Bellview Airlines,BELLVIEW AIRLINES,Nigeria
CH,BMJ,Bemidji Airlines,BEMIDJI,USA
A8,BGL,Benin Golf Air,BENIN GOLF,Benin
8E,BRG,Bering Air,BERING AIR,USA
J8,BVT,Berjaya Air,BERJAYA,Malaysia
5Q,BEA,Best Air,BEST AIR,Bangladesh
T1,BST,Bestair,BARBIE,Turkey
BG,BBC,Biman Bangladesh Airlines,BANGLADESH,Bangladesh
NT,IBB,Binter Canarias,BINTER,Spain
5Z,BML,Bismillah Airlines,BISMILLAH,Bangladesh
0B,JOR,Blue Air,BLUE TRANSPORT,Romania
BZ,BDA,Blue Dart Aviation,BLUE DART,India
SI,BCI,Blue Islands,BLUE ISLAND,United Kingdom
4Y,BLE,Blue Line,BLUE BERRY,France
BV,BPA,Blue Panorama Airlines,BLUE PANOROMA,Italy
QW,BWG,Blue Wings,BLUE WINGS,Germany
KF,BLF,Blue1,BLUEFIN,Finland
BF,BBD,Bluebird Cargo,BLUE CARGO,Iceland
B8,BTR,Botir-Avia,BOTIR-AVIA,Kyrgyzstan
K6,BRV,Bravo Air Congo,BRAVO,Congo
FQ,BRI,Brindabella Airlines,BRINDABELLA,Australia
DB,BZH,Brit Air,BRITAIR,France
BA,BAW,British Airways,SPEEDBIRD,United Kingdom
BS,BIH,British International Helicopters,BRINTEL,United Kingdom
SN,BEL,Brussels Airlines,BEE-LINE,Belgium
J4,BFL,Buffalo Airways,BUFFALO,Canada
FB,LZB,Bulgaria Air,FLYING BULGARIA,Bulgaria
1T,BUC,Bulgarian Air Charter,BULGARIAN CHARTER,Nigeria
UZ,BRQ,Buraq Air,BURAQAIR,Libya
4P,ABB,Business Aviation,AFRICAN BUSINESS,Congo
5C,ICL,CAL Cargo Air Lines,CAL,Israel
XK,CCM,CCM Airlines,CORSICA,France
AW,SCH,CHC Airways,SCHREINER,Netherlands
L5,HKS,CHC Helikopter Service,HELIBUS,Norway
MO,CAV,Calm Air,CALM AIR,Canada
C6,CJA,CanJet,CANJET,Canada
5T,MPE,Canadian North,EMPRESS,Canada
9K,KAP,Cape Air,CAIR,USA
PT,CCI,Capital Cargo International Airlines,CAPPY,USA
BB,CBB,Cargo B Airlines,CARGO-BEE,Belgium
8L,CGP,Cargo Plus Aviation,CARGO PLUS,United Arab Emirates
2G,CRG,Cargoitalia,WHITE PELICAN,Italy
W8,CJT,Cargojet Airways,CARGOJET,Canada
CV,CLX,Cargolux,CARGOLUX,Luxembourg
B9,CBC,Caribair,CARIBAIR,Dominican Republic
BW,BWA,Caribbean Airlines,CARIBBEAN AIRLINES,Trinidad & Tobago
V3,KRP,Carpatair,CARPATAIR,Romania
RV,CPN,Caspian Airlines,CASPIAN,Iran
CX,CPA,Cathay Pacific,CATHAY,China - Peoples Republic
KX,CAY,Cayman Airways,CAYMAN,Cayman Islands
5J,CEB,Cebu Pacific,CEBU AIR,Philippines
9M,GLR,Central Mountain Air,GLACIER,Canada
C0,CLW,Centralwings,CENTRALWINGS,Poland
J7,CVC,Centre-Avia,AVIACENTRE,Russia
WE,CWC,Centurion Air Cargo,CHALLENGE CARGO,USA
3U,NCH,Chanchangi Airlines,CHANCHANGI,Nigeria
2Z,CGN,Chang'an Airlines,CHANGAN,China - Peoples Republic
RP,CHQ,Chautauqua Airlines,CHAUTAUQUA,USA
CI,CAL,China Airlines,DYNASTY,Taiwan
CK,CKK,China Cargo Airlines,CARGO KING,China - Peoples Republic
MU,CES,China Eastern Airlines,CHINA EASTERN,China - Peoples Republic
8Y,CYZ,China Postal Airlines,CHINA POST,China - Peoples Republic
CZ,CSN,China Southern Airlines,CHINA SOUTHERN,China - Peoples Republic
HR,CUA,China United Airlines,LIANHANG,China - Peoples Republic
PN,CHB,China West Air,WEST CHINA,China - Peoples Republic
XO,CXH,China Xinhua Airlines,XINHUA,China - Peoples Republic
OQ,CQN,Chongqing Airlines,CHONG QING,China - Peoples Republic
A2,CIU,Cielos Airlines,CIELOS,Peru
QI,CIM,Cimber Air,CIMBER,Denmark
C9,RUS,Cirrus Airlines,CIRRUS AIR,Germany
CF,SDR,City Airline,SWEDESTAR,Sweden
G3,CIX,City Connexion Airlines,CONNEXION,Burundi
WX,BCY,CityJet,CITY-IRELAND,Ireland
4C,CGK,Click Airways,CLICK AIR,United Arab Emirates
XG,CLI,Clickair,CLICKJET,Spain
9L,CJC,Colgan Air,COLGAN,USA
MN,CAW,Comair,COMMERCIAL,South Africa
OH,COM,Comair,COMAIR,USA
C5,UCA,CommutAir,COMMUTAIR,USA
KR,KMZ,Comores Aviation,,Comoros
E9,FPY,Compagnie Africaine d'Aviation,AFRICOMPANY,Congo
I5,CMM,Air Mali,CAMALI,Mali
CP,CPZ,Compass Airlines,COMPASS ROSE,USA
DE,CFG,Condor Flugdienst,CONDOR,Germany
C3,KIS,Contact Air,CONTACTAIR,Germany
CO,COA,Continental Airlines,CONTINENTAL,USA
PC,PVV,Continental Airways,CONTAIR,Russia
CS,CMI,Continental Micronesia,AIR MIKE,Guam (USA)
V0,VCV,Conviasa,CONVIASA,Venezuela
CM,CMP,Copa Airlines,COPA,Panama
2,CPB,Corporate Express,PENTA,Canada
SS,CRL,Corsairfly,CORSAIR,France
F5,COZ,Cosmic Air,COSMIC AIR,Nepal
7C,COY,Coyne Aviation,COYNE AIR,United Kingdom
OU,CTN,Croatia Airlines,CROATIA,Croatia
CU,CUB,Cubana de Aviacion,CUBANA,Cuba
5R,CTT,Custom Air Transport,CATT,USA
CY,CYP,Cyprus Airways,CYPRUS,Cyprus
KY,KYV,Cyprus Turkish Airlines (KTHY Kibris Turk Hava Yollari),AIRKIBRIS,Turkey
OK,CSA,Czech Airlines,CSA-LINES,Czech Republic
DX,DTR,DAT Danish Air Transport,DANISH,Denmark
D5,DAE,DHL Aero Expreso,YELLOW,Panama
D0,DHK,DHL Air UK,EUROTRANS,United Kingdom
ES,DHX,DHL International Aviation ME,DILMUN,Bahrain
L3,JOS,DHL de Guatemala,,Guatemala
R6,DNU,DOT LT,DANU,Lithuania
1I,AMB,DRF Luftrettung,CIVIL AIR AMBULANCE,Germany
D3,DAO,Daallo Airlines,DAALLO AIRLINES,United Arab Emirates
N2,DAG,Dagestan Airlines,DAGAL,Russia
0D,DWT,Darwin Airline,DARWIN,Switzerland
JD,DER,Deer Jet,DEER JET,China - Peoples Republic
DL,DAL,Delta Air Lines,DELTA,USA
3D,DNM,Denim Air,DENIM,Netherlands
HS,HSV,Direktflyg,HIGHSWEDE,Sweden
AW,DIR,Dirgantara Air Service,DIRGANTARA,Indonesia
D8,DJB,Djibouti Airlines,DJIBOUTI AIR,Djibouti
Z6,UDN,Dniproavia,DNIEPRO,Ukraine
ZD,FDN,Dolphin Air,FLYING DOLPHIN,United Arab Emirates
5D,UDC,DonbassAero,DONBASS AERO,Ukraine
KA,HDA,Dragonair,Hong Kong Dragon Airlines,DRAGON
KB,DRK,Druk Air,ROYAL BHUTAN,Bhutan
9H,DNL,Dutch Antilles Express,DUTCH ANTILLES,Netherlands Antilles
BR,EVA,EVA Air,EVA,Taiwan
H7,EGU,Eagle Air,AFRICAN EAGLE,Uganda
NZ,EAG,Eagle Airways,EAGLE,New Zealand
QU,UGX,East African,CRANE,Uganda
S9,HSA,East African Safari Air Express,DUMA,Kenya
8C,DXH,East Star Air,EAST STAR,China - Peoples Republic
T3,EZE,Eastern Airways,EASTFLIGHT,United Kingdom
QF,EAQ,Eastern Australia Airlines,EASTERN,Australia
EF,ESY,EasyFly,EASYFLY,Colombia
8Y,ECV,Ecuato Guineana,ECUATOGUINEA,Equatorial Guinea
WK,EDW,Edelweiss Air,EDELWEISS,Switzerland
MS,MSX,EgyptAir Cargo,EGYPTAIR CARGO,Egypt
MS,MSE,EgyptAir Express,EGYPTAIR EXPRESS,Egypt
MS,MSR,Egyptair,EGYPTAIR,Egypt
LY,ELY,El Al Israel Airlines,ELAL,Israel
EK,UAE,Emirates Airline,EMIRATES,United Arab Emirates
EM,CFS,Empire Airlines,EMPIRE,USA
EU,EEA,Empresa Ecuatoriana De Aviacion,ECUATORIANA,Ecuador
G8,ENK,Enkor,ENKOR,Russia
7H,ERH,Era Aviation,ERAH,USA
B8,ERT,Eritrean Airlines,ERITREAN,Eritrea
E7,ESF,Estafeta Carga Aerea,ESTAFETA,Mexico
OV,ELL,Estonian Air,ESTONIAN,Estonia
ET,ETH,Ethiopian Airlines,ETHIOPIAN,Ethiopia
EY,ETD,Etihad Airways,ETIHAD,United Arab Emirates
5B,EAK,Euro-Asia Air,EAKAZ,Kazakhstan
6M,EUP,EuroAir,EUROSTAR,Greece
UI,ECA,Eurocypria Airlines,EUROCYPRIA,Cyprus
GJ,EEU,Eurofly,EUROFLY,Italy
K2,ELO,Eurolot,EUROLOT,Poland
5O,FPO,Europe Airpost,FRENCH POST,France
QY,BCS,European Air Transport,EUROTRANS,Germany
EW,EWG,Eurowings,EUROWINGS,Germany
EZ,EIA,Evergreen International Airlines,EVERGREEN,USA
3Z,VTS,Everts Air Cargo,EVERTS,USA
OW,EXK,Executive Airlines,EXECUTIVE EAGLE,Puerto Rico
8D,EXV,Expo Aviation,EXPOAVIA,Sri Lanka
EO,LHN,Express One International,LONGHORN,USA
XE,BTA,ExpressJet Airlines,JET LINK,USA
ZY,EZA,Eznis Airways,EZNIS,Mongolia
4A,EYE,FS Air Service,SOCKEYE,USA
F3,FSW,Faso Airways,FASO,Burkina Faso
FX,FDX,FedEx Express,FEDEX,USA
AY,FIN,Finnair,FINNAIR,Finland
FC,WBA,Finncomm Airlines,WESTBIRD,Finland
FY,FFM,Firefly,FIREFLY,Malaysia
7F,FAB,First Air,FIRST AIR,Canada
JH,FFX,Flex Linhas Aéreas,FLEX,Brazil
4Y,TUD,Flight Alaska,TUNDRA,USA
RF,FWL,Florida West International Airways,FLO WEST,USA
6P,IAD,Fly Wex,FLYWEX,Italy
5H,FFV,Fly540,SWIFT TANGO,Kenya
TE,LIL,FlyLal (Lithuanian Airlines),LITHUANIA AIR,Lithuania
F7,BBO,Flybaboo,BABOO,Switzerland
BE,BEE,Flybe,JERSEY,United Kingdom
B4,GSM,Flyglobespan,GLOBESPAN,United Kingdom
7Y,FCR,Flying Carpet,FLYING CARPET,Lebanon
HK,FSC,Four Star Aviation / Four Star Cargo,FOUR STAR,Puerto Rico
XD,FHY,Freebird Airlines,FREE BIRD,Turkey
FP,FRE,Freedom Air,FREEDOM,Guam (USA)
F8,FRL,Freedom Airlines,FREEDOM AIR,USA
F9,FFT,Frontier Airlines,FRONTIER FLIGHT,USA
2F,FTA,Frontier Flying Service,FRONTIER-AIR,USA
GY,GBK,Gabon Airlines,GABON AIRLINES,Gabon
GP,GDR,Gadair European Airlines,GADAIR,Spain
7O,GAL,Galaxy Air,GALAXY,Kyrgyzstan
GA,GIA,Garuda Indonesia,INDONESIA,Indonesia
4G,GZP,Gazpromavia,GAZPROMAVIA,Russia
A9,TGZ,Georgian Airways,TAMAZI,Georgia
QB,GFG,Georgian National Airlines,NATIONAL,Georgia
ST,GMI,Germania,GERMANIA,Germany
4U,GWI,Germanwings,GERMAN WINGS,Germany
GP,GES,Gestair,GESTAIR,Spain
G0,GHB,Ghana International Airlines,GHANA AIRLINES,Ghana
XH,GSS,Global Supply Systems,JET LIFT,United Kingdom
G8,GOW,GoAir,GOAIR,India
G7,GJS,GoJet Airlines,LINDBERGH,USA
G3,GLO,Gol Transportes Aéreos,GOL TRANSPORTE,Brazil
DC,GAO,Golden Air,GOLDEN,Sweden
YD,GOM,Gomelavia,GOMEL,Belarus
G1,IKA,Gorkha Airlines,GORKHA AIRLINES,Nepal
YR,CVU,Grand Canyon Airlines,CANYON VIEW,USA
GS,GCR,Grand China Express Air,CHINA DRAGON,China - Peoples Republic
GS,GUN,Grant Aviation,HOOT,USA
ZK,GLA,Great Lakes Airlines,LAKES AIR,USA
IJ,GWL,Great Wall Airlines,GREAT WALL,China - Peoples Republic
G6,BSR,Guine Bissaur Airlines,BISSAU AIRLINES,Guinea Bissau
J9,GIF,Guinee Airlines,GUINEE AIRLINES,Guinea
GF,GBA,Gulf Air Bahrain,GULF BAHRAIN,Bahrain
3M,GFT,Gulfstream International Airlines,GULF FLIGHT,USA
H6,HAG,Hageland Aviation Services,HAGELAND,USA
HR,HHN,Hahn Air,ROOSTER,Germany
HU,CHH,Hainan Airlines,HAINAN,China - Peoples Republic
4R,HHI,Hamburg International,HAMBURG JET,Germany
HA,HAL,Hawaiian Airlines,HAWAIIAN,USA
HN,HVY,Heavylift Cargo Airlines,HEAVY CARGO,Australia
YO,MCM,Heli Air Monaco,HELI AIR,Monaco
JB,JBA,Helijet,HELIJET,Canada
T4,HEJ,Hellas Jet,HELLAS JET,Greece
HT,IMP,Hellenic Imperial Airways,IMPERIAL,Greece
HW,FHE,Hello,FLYHELLO,Switzerland
2L,OAW,Helvetic Airways,HELVETIC,Switzerland
DU,HMS,Hemus Air,HEMUS AIR,Bulgaria
EO,ALX,Hewa Bora Airways,ALLCONGO,Congo
UD,HER,Hex'Air,HEX AIRLINE,France
5K,HFY,Hi Fly,SKY FLYER,Portugal
8H,HWY,Highland Airways,HIWAY,United Kingdom
HD,ADO,Hokkaido International Airlines,AIR DO,Japan
H5,HOA,Hola Airlines,HOLA,Spain
N8,CRK,Hong Kong Airlines,BAUHINIA,China - Peoples Republic
UO,HKE,Hong Kong Express Airways,HONGKONG SHUTTLE,China - Peoples Republic
QX,QXE,Horizon Air,HORIZON AIR,USA
II,CSQ,IBC Airways,CHASQUI,USA
IB,IBE,Iberia Airlines,IBERIA,Spain
TY,IWD,Iberworld,IBERWORLD,Spain
FW,IBX,Ibex Airlines,IBEX,Japan
X8,ICD,Icaro Air,ICARO,Ecuador
FI,ICE,Icelandair,ICEAIR,Iceland
IK,ITX,Imair Airlines,IMPROTEX,Azerbaijan
6E,IGO,IndiGo Airlines,IFLY,India
I8,IDA,Indonesia Air Transport,INTRA,Indonesia
QZ,AWQ,Indonesia AirAsia,WAGON AIR,Indonesia
7I,INC,Insel Air,INSELAIR,Netherlands Antilles
3L,ISK,InterSky,INTERSKY,Austria
D6,ILN,Interair South Africa,INLINE,South Africa
4O,AIJ,Interjet,INTERJET,Mexico
ID,ITK,Interlink Airlines,INTERLINK,South Africa
6I,IBZ,International Business Air,INTERBIZ,Sweden
I4,FWA,Interstate Airline,FREEWAYAIR,Netherlands
IR,IRA,Iran Air,IRANAIR,Iran
B9,IRB,Iran Air Tours,,Iran
EP,IRC,Iran Aseman Airlines,IAA,Iran
IA,IAW,Iraqi Airways,IRAQI,Iraq
WP,MKU,Island Air,MOKU,USA
2S,SDY,Island Express,SANDY ISLE,USA
IF,ISW,Islas Airways,PINTADERA,Spain
WC,ISV,Islena De Inversiones,,Honduras
5Y,IOS,Isles of Scilly Skybus,SCILLONIA,United Kingdom
6H,ISR,Israir Airlines,ISRAIR,Israel
9X,ACL,ItAli Airlines,ITALI,Italy
GI,IKA,Itek Air,ITEK-AIR,Kyrgyzstan
H9,IZM,Izair,IZMIR,Turkey
XM,JLJ,J-Air,J-AIR,Japan
JC,JEX,JAL Express,JANEX,Japan
JO,JAZ,JALways,JALWAYS,Japan
JI,JAE,Jade Cargo International,JADE CARGO,China - Peoples Republic
3X,JAC,Japan Air Commuter,COMMUTER,Japan
JL,JAL,Japan Airlines,JAPANAIR,Japan
NU,JTA,Japan Transocean Air,JAI OCEAN,Japan
JU,JAT,Jat Airways,JAT,Serbia
J9,JZR,Jazeera Airways,JAZEERA,Kuwait
7C,JJA,Jeju Air,JEJU AIR,South Korea
O2,JEA,Jet Air,JETA,Poland
9W,JAI,Jet Airways,JET AIRWAYS,India
PP,PJS,Jet Aviation,JET AVIATION,Switzerland
LS,EXS,Jet2.com,CHANNEX,United Kingdom
8J,JFU,Jet4you,ARGAN,Morocco
B6,JBU,JetBlue Airways,JETBLUE,USA
QF,QNZ,JetConnect,QANTAS,New Zealand
S2,JLL,JetLite,LITE JET,India
JF,JAF,Jetairfly,BEAUTY,Belgium
0J,JCS,Jetclub,JETCLUB,Switzerland
JQ,JST,Jetstar Airways,JETSTAR,Australia
3K,JSA,Jetstar Asia Airways,JETSTAR ASIA,Singapore
BL,PIC,Jetstar Pacific,PACIFIC AIRLINES,Vietnam
JX,JEC,Jett8 Airlines Cargo,TAIPAN,Singapore
LJ,JNA,Jin Air,JIN AIR,South Korea
R5,JAV,Jordan Aviation,JORDAN AVIATION,Jordan
6J,JUB,Jubba Airways,JUBBA,Somalia
HO,DKH,Juneyao Airlines,AIR JUNEYAO,China - Peoples Republic
XC,KDC,KD Air,KAY DEE,Canada
KD,KNI,KD Avia,KALININGRAD AIR,Russia
WA,KLC,KLM Cityhopper,CITY,Netherlands
KL,KLM,KLM Royal Dutch Airlines,KLM,Netherlands
N2,QNK,Kabo Air,KABO,Nigeria
K4,CKS,Kalitta Air,CONNIE,USA
K9,KFS,Kalitta Charters,KALITTA,USA
RQ,KMF,Kam Air,KAMGAR,Afghanistan
E2,KMP,Kampuchea Airlines,KAMPUCHEA,Cambodia
5R,KAJ,Karthago Airlines,KARTHAGO,Tunesia
3Y,KAE,Kartika Airlines,KARTIKA,Indonesia
KV,MVD,Kavminvodyavia,AIR MINVODY,Russia
KW,KFA,Kelowna Flightcraft Air Charter,FLIGHTCRAFT,Canada
M5,KEN,Kenmore Air,KENMORE,USA
4K,KBA,Kenn Borek Air,BOREK AIR,Canada
KQ,KQA,Kenya Airways,KENYA,Kenya
BZ,KEE,Keystone Air Services,KEYSTONE,Canada
X9,KHO,Khors Aircompany,AIRCOMPANY KHORS,Ukraine
IT,KFR,Kingfisher Airlines,KINGFISHER,India
DN,DKN,Kingfisher Red,DECCAN,India
Y9,IRK,Kish Air,KISHAIR,Iran
7K,KGL,Kogalymavia,KOGALYM,Russia
K7,KBR,KoralBlue Airlines,KORAL BLUE,Egypt
KE,KAL,Korean Air,KOREANAIR,South Korea
GW,KIL,Kuban Airlines,AIR KUBAN,Russia
VD,KPA,Kunpeng Airlines,KUN PENG,China - Peoples Republic
KU,KAC,Kuwait Airways,KUWAITI,Kuwait
GO,KZU,Kuzu Airlines Cargo,KUZU CARGO,Turkey
QH,LYN,Kyrgyzstan,ALTYN AVIA,Kyrgyzstan
R8,KGA,Kyrgyzstan Airlines,KYRGYZ,Kyrgyzstan
A0,AVI,L'Avion,ELYSAIR,France
JF,LAB,L.A.B. Flying Service,LAB,USA
LR,LRC,LACSA,LACSA,Costa Rica
5U,LDE,LADE - Líneas Aéreas del Estado,LADE,Argentina
KG,BNX,LAI - Linea Aerea IAACA,AIR BARINAS,Venezuela
LM,LAM,LAM Mozambique Airlines,MOZAMBIQUE,Mozambique
LA,LAN,LAN Airlines,LAN,Chile
4M,DSM,LAN Argentina,LAN AIR,Argentina
UC,LCO,LAN Cargo,LAN CARGO,Chile
XL,LNE,LAN Ecuador,LAN ECUADOR,Ecuador
LU,LXP,LAN Express,LANEX,Chile
LP,LPE,LAN Peru,LANPERU,Peru
8z,LER,LASER Airlines,LASER,Venezuela
LO,LOT,LOT Polish Airlines,POLLOT,Poland
LT,LTU,LTU International,LTU,Germany
IK,LKN,Lankair,LANKAIR,Sri Lanka
QV,LAO,Lao Airlines,LAO,Laos
NG,LDA,Lauda Air,LAUDA AIR,Austria
LI,LIA,Leeward Islands Air Transport,LIAT,Antigua and Barbuda
LN,LAA,Libyan Airlines,LIBAIR,Libya
4V,LCG,Lignes Aériennes Congolaises,CONGOLAISE,Congo
LD,TUY,Linea Turistica Aerotuy,AEREOTUY,Venezuela
JT,LNI,Lion Air (Lion Mentari Airlines ),LION INTER,Indonesia
LM,LVG,Livingston Energy Flight,LIVINGSTON,Italy
LC,LOG,Loganair,LOGAN,United Kingdom
T2,TAS,Lotus Air,LOTUS FLOWER,Egypt
8L,LKE,Lucky Air,LUCKY AIR,China - Peoples Republic
HE,LGW,Luftfahrtgesellschaft Walter,WALTER,Germany
LH,DLH,Lufthansa,LUFTHANSA,Germany
LH,GEC,Lufthansa Cargo,LUFTHANSA CARGO,Germany
CL,CLH,Lufthansa CityLine,HANSALINE,Germany
DV,LTF,Lufttaxi Fluggesellschaft,GARFIELD,Germany
L5,LTR,Lufttransport,LUFT TRANSPORT,Norway
LG,LGL,Luxair,LUXAIR,Luxembourg
5V,UKW,Lviv Airlines,UKRAINE WEST,Ukraine
L2,LYC,Lynden Air Cargo,LYNDEN,USA
L4,SSX,Lynx Aviation,SHASTA,USA
MH,MAS,MASkargo (Malaysia Airlines Kargo),MALAYSIAN CARGO,Malaysia
MH,MWG,MASwings,MASWINGS,Malaysia
IN,MAK,MAT Macedonian Airlines,MAKAVIO,Macedonia
OM,MGL,MIAT Mongolian Airlines,MONGOL AIR,Mongolia
7G,MKA,MK Airlines,KRUGER AIR,United Kingdom
MB,MNB,MNG Airlines,BLACK SEA,Turkey
CC,MCK,Macair Airlines,MACAIR,Australia
UJ,GMT,Magnicharters,GRUPOMONTERREY,Mexico
W5,IRM,Mahan Air,MAHAN AIR,Iran
MH,MAS,Malaysia Airlines,MALAYSIAN,Malaysia
Q2,DQA,Maldivian,ISLAND AVIATION,Maldives
MV,MAT,Maldivian Air Taxi,MALDIVIAN,Maldives
MA,MAH,Malev Hungarian Airlines,MALEV,Hungary
Z8,MTZ,Mali Airways,MALI AIRWAYS,Mali
TF,SCW,Braathens Regional Aviation,SCANWINGS,Sweden
RI,MDL,Mandala Airlines,MANDALA,Indonesia
AE,MDA,Mandarin Airlines,MANDARIN,Taiwan
JE,MNO,Mango,TULCA,South Africa
6V,MRW,Mars RK,AVIAMARS,Ukraine
M7,MSL,Marsland Aviation,MARSLANDAIR,Sudan
MP,MPH,Martinair,MARTINAIR,Netherlands
M7,MAA,MasAir,MAS CARGA,Mexico
L6,MAI,Mauritania Airlines International,,Mauritania
8M,MXL,Maxair,MAXAIR,Sweden
MW,MYD,Maya Island Air,MYLAND,Belize
N5,MDM,Medavia,MEDAVIA,Malta
IM,MNJ,Menajet,MENAJET,Lebanon
IG,ISS,Meridiana,MERAIR,Italy
MZ,MNA,Merpati Nusantara Airlines,MERPATI,Indonesia
YV,ASH,Mesa Airlines,AIR SHUTTLE,USA
XJ,MES,Mesaba Airlines,MESABA,USA
MX,MXA,Mexicana,MEXICANA,Mexico
QA,CBE,MexicanaClick,CLICK,Mexico
GL,BSK,Miami Air International,BISCAYNE,USA
7Y,NYL,Mid Airlines,NILE,Sudan
ME,MEA,Middle East Airlines,CEDAR JET,Lebanon
JI,MDW,Midway Airlines,MIDWAY,USA
MY,MEP,Midwest Airlines,MIDEX,Egypt
MJ,MLR,Mihin Lanka,MIHIN LANKA,Sri Lanka
MW,BUG,Mokulele Airlines,SPEEDBUGGY,USA
2M,MDV,Moldavian Airlines,MOLDAVIAN,Moldova
ZB,MON,Monarch Airlines,MONARCH,United Kingdom
YM,MGX,Montenegro Airlines,MONTAIR,Montenegro
3R,GAI,Moskovia Airlines,GROMOV AIRLINE,Russia
M9,MSI,Motor Sich,MOTOR SICH,Ukraine
NM,NZM,Mount Cook Airlines,MOUNTCOOK,New Zealand
8I,MYW,MyAir,FRANKY,Italy
UB,UBA,Myanma Airways,UNIONAIR,Myanmar (Burma)
8M,UBA,Myanmar Airways International,UNIONAIR,Myanmar (Burma)
DV,ACK,Nantucket Airlines,ACK AIR,USA
XY,KNE,Nas Air,NAS EXPRESS,Saudi Arabia
UE,NAS,Nasair,NASAIRWAYS,Eritrea
5M,MUA,National Airlines,MURRAY AIR,USA
YJ,NTN,National Airways,NATCHAIR,South Africa
NC,NJS,National Jet Systems,NATIONAL JET,Australia
5C,NRR,Nature Air,NATUREAIR,Costa Rica
ON,RON,Nauru Air Corporation,AIR NAURU,Nauru
ZN,NAY,Navegacion y Servicios Aéreos Canarios,NAYSA,Spain
NO,NOS,Neos,MOONFLOWER,Italy
RA,RNA,Nepal Airlines,ROYAL NEPAL,Nepal
1I,EJA,NetJets,EXECJET,USA
1I,NJE,NetJets Europe,FRACTION,Portugal
EJ,NEA,New England Airlines,NEW ENGLAND,USA
2N,NTJ,Nextjet,NEXTJET,Sweden
HG,NLY,Niki,FLYNIKI,Austria
KZ,NCA,Nippon Cargo Airlines,NIPPON CARGO,Japan
DD,NOK,Nok Air,NOK AIR,Thailand
